latent_dim_1,latent_dim_2
-0.03963813,-1.4044619
-0.009007588,1.5421696
-0.018311813,0.16068305
-0.0037167817,-0.297078
-0.05966656,-1.0231012
-0.00016523898,-1.1009015
-0.047159106,-0.53898734
-0.06247008,-0.6628494
-0.0042589903,0.26940644
-0.001466006,1.8761789
-0.03205481,-0.45231134
0.026719317,0.5593313
0.01703535,1.014641
-0.0021424294,1.4053601
-0.009054884,1.7770846
-0.021826863,-0.91924876
-0.019863442,-0.00766989
0.03178434,-0.29622567
0.027524367,0.8174637
-0.04764156,-0.5470461
-0.033018544,-2.2124944
0.026884168,0.63198787
-0.018489212,-1.2089521
-0.00855732,-1.5729496
0.01840946,-1.214924
0.033857614,-0.7955804
-0.030993193,0.147014
-0.05312422,-0.5137201
-0.03903076,-1.0006768
-0.002116099,1.8331993
-0.004400477,1.3826964
-0.024185628,-1.3004702
0.03132738,-1.0516981
-0.005059004,1.0129563
0.018423453,0.5708849
-0.012584642,1.7199019
0.02677223,0.7398288
-0.011836261,1.6673294
-0.031911254,-0.35259485
-0.023214877,1.7674967
0.04990281,-0.3058256
0.02989173,0.8734884
4.799664e-05,1.8335694
0.029806465,-0.79722965
-0.04115525,-1.3248081
-0.011944279,0.14854853
-0.009063631,1.3953763
-0.028340816,-1.0270759
-0.010152742,0.16544889
-0.033604175,-0.30600977
-0.02204065,-1.3499322
0.03835699,-0.09320912
0.03129433,-0.7860979
-0.019239768,-1.8359
0.012599677,0.32569402
0.0005131513,0.9329762
-0.023720533,-1.3378689
0.027463108,0.5450406
0.011993498,-0.08741586
0.016661674,-1.1974691
0.0010568202,-0.22718814
0.026734889,0.6921247
0.02465035,0.40650612
-0.017003939,0.21932703
0.0018318594,0.2709599
0.020155579,1.322917
-0.037218288,0.12444638
-0.05916597,-1.0595285
-0.03516917,-0.06843744
0.020502672,-1.3456773
-0.008163542,1.6320877
0.018852979,0.58047247
0.01651311,1.4035395
-0.008792296,0.203409
-0.020791233,-1.2014321
0.035133407,-0.044116355
-0.05297868,-0.71021366
0.02542001,0.75824904
-0.011749625,1.7451005
0.02692011,0.7796683
-0.021037221,-1.25836
0.025008574,0.39922088
0.021868259,-0.9051762
0.029053062,0.77907276
-0.039036423,0.047039323
-0.002050504,1.373226
0.011679888,1.119242
-0.046885505,-0.47449327
-0.01755865,-1.5769364
0.010729179,0.7757242
0.022884816,0.0037977016
0.025887147,-0.64467895
-0.030069485,-0.047416564
0.01323773,0.3535192
-0.05246395,-0.49215966
-0.027153566,-0.97756106
-0.034342572,0.10820225
-0.028393194,-0.13458538
0.026657522,0.60792565
-0.03874266,-0.9427038
0.009189814,-0.10083192
-0.029110536,-0.26061088
-0.0031460673,0.07527008
0.027536333,-0.1364565
-0.026397362,-0.27561742
-0.036305755,-0.097350195
0.019033104,1.0835732
0.0051597506,0.047409434
-0.0343457,-0.0862493
-0.050034985,-0.47710598
0.018522233,-1.3587832
0.019851372,0.00020570401
0.030658409,-0.12150388
0.025439799,0.57858485
-0.00286147,-1.0441871
-0.04713343,-0.7204604
-0.028414667,0.02372764
-0.008034527,1.4698975
-0.022158787,1.8346355
-0.010006398,-1.7969946
-0.0008742362,-1.5507545
-0.013199002,-1.0169216
0.026274249,-0.71226996
-0.0005681962,0.983148
-0.039078295,-0.34360075
-0.0032706857,0.86603695
-0.022864759,1.8618907
0.004614502,-0.04455658
-0.049217284,-1.2225221
-0.011717275,0.20477138
-0.022158116,-2.0989895
0.011707351,0.3256014
-0.03061685,-0.034218285
-0.02276972,-0.21022497
-0.039177448,-0.5204727
0.0195954,0.5482604
-0.018017456,-0.8915187
0.019538984,0.39797783
-0.051188245,-0.68221664
-0.014150083,1.7526636
-0.016786292,-2.180747
0.0015054345,0.9959943
-0.025757357,0.16191414
0.033212587,-0.07917398
0.011022463,0.307585
0.01918155,-1.0486608
0.0005685389,-1.0192058
0.0057508945,1.1158639
0.0034653842,0.33289802
-0.0029368103,0.2523222
-0.055519357,-1.1298242
0.024331778,0.58266604
-0.038634896,-0.4764694
-0.02565141,0.1764544
0.019293815,0.91408056
0.0035104156,-0.120731376
-0.035343617,-0.3093139
-0.038944453,-0.37493604
-0.057435587,-0.7656086
0.025184184,0.78245986
-0.051490977,-1.1959387
0.016322479,0.4049216
0.031160146,-0.09743358
-0.038607463,0.059222877
0.025016204,0.55221295
-0.025509134,-0.31093287
0.009233579,0.01467436
0.009291634,-0.11877044
-0.050959647,2.3546681
0.016732305,0.95225745
-0.023382276,-1.0846747
0.008817449,1.2117809
-0.047850713,-0.7785005
-0.054456666,-1.1266611
-0.0025993437,0.27586412
-0.031787276,0.047102608
0.013561666,0.666969
-0.0012952983,1.8429072
0.06036681,-0.25332344
0.022457182,1.0968025
-0.0066073984,1.0743425
-0.050022975,-0.64811677
-0.023910597,1.7930491
0.016056567,0.020033993
-0.030725509,-0.1313481
-0.027539745,-1.476257
-0.05032569,-1.128955
0.028510466,0.8446227
0.010291532,1.1508251
0.026434809,0.68212855
-0.047718704,-0.47563404
-0.058976844,-0.60335505
-0.044379666,-0.39320314
0.012951732,0.32482004
0.016052827,-1.3301578
0.046745107,-0.31965256
0.022871435,-0.08493499
0.017046526,0.4538427
-0.012753651,-0.06743464
-0.050466314,-1.2442322
-0.036948353,-0.98504055
-0.04449421,2.1727145
-0.034162194,-1.0218058
-0.003989354,0.8898091
-0.026002586,-0.040413238
0.02708453,0.83982956
-0.05982919,-0.9490855
-0.0337667,0.047770493
-0.013188794,-1.774753
0.0010406524,1.8577248
-0.005877584,0.9299544
-0.04777932,-0.7604043
-0.013689041,-1.7644354
0.016859993,1.4202827
-0.037980318,-0.44015694
-0.0630565,-0.98193145
0.01789771,-0.06968124
0.009153083,-0.1055715
-0.056552634,-0.66419774
0.034445107,-0.84767944
-0.055922315,-1.0785376
-0.009823918,1.3996665
-0.060388476,-1.0260712
0.0273754,0.6649899
0.027498305,0.6851394
0.066103995,-0.27253795
0.011176541,0.04145879
-0.03718005,-0.10348615
-0.03425473,-0.117588714
-0.023363262,-0.24963439
-0.031360313,-2.1845958
-0.057063863,-1.0663053
0.018000096,1.3627497
0.012388021,0.038170844
-0.033920944,-0.10387198
-0.023016512,-1.172667
0.0006891042,0.07626385
-0.01696004,-2.029565
-0.00043822825,-0.11037397
-0.051255167,-0.63297397
0.036652595,-0.67701787
0.02111116,1.085912
-0.047659516,-0.781027
0.026698738,0.7155326
0.004424438,1.5927049
0.026743919,0.63229
-0.014995441,1.6259068
-0.045529813,-1.2969995
0.0067800134,0.8524061
0.017377332,-1.2304887
0.014994368,1.0264182
-0.015360221,-1.224814
-0.029394075,-0.02489258
0.018301606,0.8554692
0.0053979307,1.3286407
0.0018140227,0.99564326
-0.002935201,-0.07126704
-0.0057710856,1.10598
0.019797042,0.6637108
-0.014857918,0.18275268
-0.017178908,0.1657945
-0.029970288,0.15450543
0.024224073,0.5797723
-0.028835788,-0.061654475
-0.035947874,0.043498658
0.003914386,-1.0522859
-0.011398092,1.7647631
0.027234554,0.5595958
-0.052525654,-1.1022671
-0.03487505,-0.45136696
-0.0044253767,0.23852019
-0.022174612,-1.0494044
0.027436644,-0.88680387
0.02421169,-0.035846345
-0.033197552,-0.08075001
0.01776728,0.9491797
-0.007706031,1.2093923
0.004752308,0.2888533
-0.033875123,-0.36701852
0.033696756,-0.039935533
-0.025098607,-0.20385109
0.020499632,1.2411791
0.009018034,0.31129616
0.02020596,0.37949562
-0.020544946,-0.029064253
0.036180824,-0.21474053
-0.0363397,0.05741021
-0.012386158,0.1834224
-0.055770814,-0.6527485
0.020301402,0.6878403
0.015287831,1.0227629
0.006831616,-0.002279438
-0.0055012107,0.23383583
0.028646812,-0.13229844
0.026162446,0.47358626
-0.035462603,-1.0582485
0.022396758,-1.0197108
-0.0009611845,0.91911745
-0.0065566003,0.94183195
-0.00034882128,-1.6173573
0.020006508,-1.5664049
-0.020368263,-0.23369268
0.019895837,-0.9505411
0.02664502,0.63263816
0.0045636743,-0.046882816
-0.026000246,-0.19254297
0.01984319,1.3051748
0.026198953,0.7093297
0.051724717,-0.35708433
0.04006493,-0.23921427
-0.03179927,-0.32292086
-0.020788923,-0.028402073
0.016308665,0.41867006
0.018240124,-1.3975663
0.022308022,1.1233035
-0.021339104,-0.9918195
0.03341472,-0.712955
-0.0026528537,0.93983
0.015556216,-0.092413425
0.0052870214,1.3534894
-0.06216541,-0.9209056
0.02796109,0.8647811
-0.0589004,-1.0252112
-0.008636743,-0.28703803
0.0072295815,0.043433476
-0.013625532,-1.0858094
0.018421724,-1.3469633
0.023414463,-1.0630037
0.02123408,0.37434363
0.013252273,0.7299291
-0.04180309,-1.3352655
0.02368331,-0.83290666
0.002572,0.2786156
-0.015932083,1.7349972
-0.04425311,-0.5868265
-0.043425262,2.2642972
-0.02085431,-0.98687685
-0.009450316,0.13801739
-0.049238145,-0.58260477
0.031517714,-0.11941198
-0.00819242,-1.5707039
0.027951553,0.85513395
-0.0011136383,1.3529383
0.019248605,-1.3784921
-0.039695963,-2.2841854
-0.022491798,-1.3603039
0.027753323,0.6380316
0.028202504,0.5989497
-0.05235502,-0.7196125
-0.0018918812,0.055186927
-0.04697895,-0.86814106
0.0004529357,0.26847595
-0.0026898235,0.27891785
-0.029587775,-0.25801414
0.034340933,-0.05946316
-0.010637566,0.19109048
-0.057507977,-0.9939968
-0.055544943,-0.70753145
0.018380016,0.52707565
-0.04937619,-1.1560559
0.027127862,-0.011074599
0.01456286,0.0275826
-0.045045152,-0.8699541
0.007985443,0.38386917
-0.030884564,-0.966854
-0.019616231,1.7148169
-0.06408116,-0.5953276
0.004455164,1.3969247
0.024605393,0.6887598
0.01648815,0.9728374
-0.0023424327,0.30257624
-0.035917208,-0.9738274
0.021234244,0.89178437
0.02132544,-0.093272015
0.008878842,-0.007537894
-0.019788817,-1.3574272
-0.04651776,-1.2723813
0.02123858,-0.7767876
0.033559337,-0.37209123
0.006030634,1.2585884
-0.032108277,-2.190862
0.036566436,-0.74281543
0.012829289,1.1732635
0.030781612,-0.039801657
-0.03411509,-2.2270176
-0.051694408,-1.2120812
-0.015174955,-1.6151252
0.02496484,0.42631042
0.015549943,0.3563391
-0.05823572,-1.0207311
